hashstring,page_path,pages,number_of_duplicates,representative_page
99fd768b86ac8dcdaffbcaa796d91e42,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-04.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-04.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-04.jpg
9afd678af99b84c8e830631d87d16fa0,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-17.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-17.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-17.jpg
9b0b61c8036e107d12ee925d4daebdef,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-16.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-16.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-16.jpg
9e73d51edc00b49e842886ecd65c3781,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-07.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-07.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-07.jpg
a459c7a1352990b35d24557e6c4e6fe2,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-26.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-26.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-26.jpg
ab9660cff14c0531783a0684b4402ae7,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-21.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-21.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-21.jpg
af6fcfc45b5c8c66d9ad92a770498ae6,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-01.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-01.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-01.jpg
b11b3896d1a27c90b38256b41950f761,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-13.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-13.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-13.jpg
b163eae79cc7313808fff18c24dd2cf9,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-24.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-24.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-24.jpg
b5e111e66211877b654e240b21b657c1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-10.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-10.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-10.jpg
c07669633ec0592ef7696bb32ad52f34,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-16.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-16.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-16.jpg
cc1c03707ce2b9e3d5779926e15b8e5e,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-14.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-14.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-14.jpg
cfb0fa82e504d4ff7bc3e25aeb44d56f,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-05.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-05.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-05.jpg
d4e579087b31276e16be96efdde37789,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-06.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-06.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-06.jpg
d6a25ccf0d2aab24055262588035f995,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-06.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-06.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-06.jpg
e18bf6b60c28d2a76da3c87883d1d590,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-27.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-27.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-27.jpg
e457d56abcf83e63be7785cfbb07fa27,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-25.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-25.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-25.jpg
e91015ed3586cd9a811711aba4ac5400,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-07.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-07.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-07.jpg
f2d954d98613943da5daa3babf4afeb7,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-03.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-03.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-03.jpg
f5f38bd96400bc9e3a1be8fe83c0cb80,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-19.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-19.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-19.jpg
f640be5668a6ba420b2f00851f92bd1f,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-22.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-22.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-22.jpg
fa15355994e0322a3f34466a585ecec0,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-31.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-31.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-31.jpg
fff9f574b376ccca04f5b7bf7b493bc1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-04.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-04.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-04.jpg
